17000,0,1743,3059
17000,0,1741,3128
17000,0,1743,3200
17000,0,1717,3274
17000,0,1750,3336
17000,0,1741,3408
17000,0,1743,3482
17000,0,1735,3554
17000,0,1741,3622
17000,0,1743,3688
17000,0,1743,3766
17000,0,1740,3834
17000,0,1759,3898
17000,0,1743,3960
17000,0,1741,4050
17000,0,1743,4120
17000,0,1743,4190
17000,0,1747,4274
17000,0,1742,4344
17000,0,1741,4408
17000,0,1741,4482
17000,0,1757,4542
17000,0,1745,4620
17000,0,1743,4704
17000,0,1743,4772
17000,0,1745,4846
17000,0,1759,4910
17000,0,1743,4989
17000,0,1755,5052
17000,0,1741,5124
17000,0,1743,5198
17000,0,1743,5232
17000,0,1755,5330
17000,0,1751,5400
17000,0,1743,5475
17000,0,1748,5546
17000,0,1743,5615
17000,0,1751,5698
17000,0,1743,5766
17000,0,1749,5840
17000,0,1749,5898
17000,0,1753,5969
17000,0,1749,6045
17000,0,1737,6117
17000,0,1742,6174
17000,0,1743,6240
17000,0,1743,6324
17000,0,1743,6384
17000,0,1743,6451
17000,0,1739,6528
17000,0,1743,6592
17000,0,1744,6672
17000,0,1756,6738
17000,0,1735,6802
17000,0,1773,6858
17000,0,1745,6945
17000,0,1751,6973
17000,0,1759,7100
17000,0,1743,7139
17000,0,1741,7216
17000,0,1746,7270
17000,0,1751,7334
17000,0,1747,7436
17000,0,1743,7490
17000,0,1743,7559
17000,0,1741,7631
17000,0,1739,7697
17000,0,1751,7767
17000,0,1743,7846
17000,0,1752,7902
17000,0,1752,7982
17000,0,1732,8048
17000,0,1749,8125
17000,0,1749,8183
17000,0,1749,8254
17000,0,1749,8326
17000,0,1751,8399
17000,0,1789,8460
17000,0,1777,8544
17000,0,1743,8596
17000,0,1727,8663
17000,0,1744,8736
17000,0,1749,8807
17000,0,1747,8864
17000,0,1741,8943
17000,0,1749,9015
17000,0,1757,9083
17000,0,1749,9143
17000,0,1743,9217
17000,0,1745,9300
17000,0,1743,9361
17000,0,1745,9427
17000,0,1751,9485
17000,0,1752,9569
17000,0,1752,9635
17000,0,1760,9700
17000,0,1743,9782
17000,0,1743,9852
17000,0,1747,9913
17000,0,1777,9992
17000,0,1749,10063
17000,0,1749,10137
17000,0,1747,10208
17000,0,1749,10274
17000,0,1751,10346
17000,0,1747,10423
17000,0,1749,10491
17000,0,1751,10547
17000,0,1751,10629
17000,0,1777,10716
17000,0,1732,10781
17000,0,1751,10839
17000,0,1751,10911
17000,0,1735,11003
17000,0,1743,11059
17000,0,1747,11121
17000,0,1743,11197
17000,0,1745,11265
17000,0,1745,11341
17000,0,1760,11413
17000,0,1750,11498
17000,0,1751,11561
17000,0,1743,11631
17000,0,1745,11707
17000,0,1743,11772
17000,0,1751,11851
17000,0,1753,11923
17000,0,1753,11989
17000,0,1749,12067
17000,0,1751,12139
17000,0,1752,12220
17000,0,1749,12273
17000,0,1749,12351
17000,0,1749,12423
17000,0,1749,12500
17000,0,1756,12565
17000,0,1741,12631
17000,0,1742,12717
17000,0,1745,12775
17000,0,1751,12857
17000,0,1743,12924
17000,0,1755,12995
17000,0,1751,13053
17000,0,1741,13143
17000,0,1745,13199
17000,0,1751,13323
17000,0,1749,13351
17000,0,1749,13415
17000,0,1751,13487
17000,0,1749,13559
17000,0,1755,13631
17000,0,1748,13715
17000,0,1749,13777
17000,0,1750,13857
17000,0,1753,13919
17000,0,1751,13978
17000,0,1732,14061
17000,0,1741,14123
17000,0,1760,14192
17000,0,1743,14269
17000,0,1751,14343
17000,0,1753,14409
17000,0,1753,14481
17000,0,1757,14549
17000,0,1753,14621
17000,0,1753,14699
17000,0,1751,14769
17000,0,1754,14860
17000,0,1757,14917
17000,0,1749,14971
17000,0,1753,15047
17000,0,1757,15127
17000,0,1751,15175
17000,0,1725,15259
17000,0,1751,15341
17000,0,1743,15387
17000,0,1747,15474
17000,0,1757,15551
17000,0,1750,15621
17000,0,1747,15697
17000,0,1750,15775
17000,0,1753,15852
17000,0,1759,15943
17000,0,1742,16007
17000,0,1741,16081
17000,0,1785,16161
17000,0,1751,16221
17000,0,1757,16277
17000,0,1751,16357
17000,0,1753,16369
17000,0,1743,16381
17000,0,1755,16365
17000,0,1753,15837
17000,0,1743,15616
17000,0,1751,15425
17000,0,1755,15200
17000,0,1751,14989
17000,0,1749,36
17000,0,1765,14
17000,0,1753,46
17000,0,1740,96
17000,0,1741,168
17000,0,1748,220
17000,0,1745,286
17000,0,1743,362
17000,0,1743,426
17000,0,1745,498
17000,0,1773,560
